ResponseID,StartDate,EndDate,Finished,totalduration,laybeliefs1,laybeliefs2,rtlaybeliefs1,laybeliefs3,laybeliefs4,rtlaybeliefs2,laybeliefs5,laybeliefs6,rtlaybeliefs3,laybeliefs7,laybeliefs8,rtlaybeliefs4,personalitylay1,personalitylay2,personalitylay3,policy1,rtpolicy1,policy2,rtpolicy2,policy3,rtpolicy3,policy4,rtpolicy4,openended,reader,reader1,reader2,english,gender,genderspecify,age,politicalavg,political1,political2,political3,white,black,latin,native,eastasia,southeast,southasia,middleeast,otherrace,racespecify,workstatus,edu,class,country,countryspecify,citizen,citizenspecify,born,bornspecify,HITsubmitted,HITsubmittedyes,demomerge,persavg,incavg,inccen,layavg,laycen,laycenXinccen,dvavg,gibberish,supportavg,entavg,entcen,entcenXlaycen,eplus1sd,eminus1sd,eplus1sdXlaycen,eminus1sdXlaycen,lay_beliefs,mindset_about_personality,layavgXentavg
R_XBAnlUKSPFAow7v,1/12/2021 19:50:50,1/12/2021 19:53:19,1,149,1,1,6.82,1,1,5.492,1,1,4.988,1,1,3.749,4,4,3,1,20.912,1,5.783,1,10.348,1,5.29,A person's character can be judged off of how they look.,1,none,none,1,1, ,45,1.666666627,2,2,1,1, , , , , , , , , ,3,5,1,1, ,1, ,1, ,1,matched (3),matched (3),3.666666746,3.333333254,-0.385621011,1,-1.768382311,0.681925356,1,0,1,3.666666746,0.385621011,-0.681925356,1.722844481,-0.951602459,-3.046647787,1.682796955,1,3.666666746,3.666666746
R_28APED5dFpY4vSp,1/12/2021 20:06:02,1/12/2021 20:15:22,1,560,5,6,18.647,5,4,20.1,3,4,18.455,4,4,25.562,4,4,3,1,72.789,2,32.256,1,77.204,3,43.069,it was for the school to recognize what kind of students they are,1,none,none,1,1, ,57,2,1,4,1, , , , , , , , ,1,african american,3,5,3,1, ,1, ,1, ,1,matched (3),matched (3),3.666666746,3.333333254,-0.385621011,4.375,1.606617689,-0.619545519,1.75,0,1.75,3.666666746,0.385621011,0.619545519,1.722844481,-0.951602459,2.767952442,-1.528861284,4.375,3.666666746,16.04166794
R_1gw0oQkr3uAFf2Q,1/12/2021 21:18:56,1/12/2021 21:33:11,1,854,6,5,116.43,6,5,212.611,4,6,9.918,4,5,42.708,6,4,5,4,66.347,5,35.302,4,31.283,3,5.414,The importance of using facial congnition and how it can help in different organization,1,none,none,1,1, ,29,1.333333373,1,2,1, ,1, , , , , , , , ,1,4,1,1, ,1, ,1, ,1,matched (3),matched (3),5,2,-1.718954206,5.125,2.356617689,-4.050918102,4,0,4,5,1.718954206,4.050918102,3.056177616,0.381730735,7.202242374,0.899593413,5.125,5,25.625
R_3nAFIJnSODA83Z3,1/12/2021 20:32:33,1/12/2021 20:35:48,1,194,3,3,10.354,3,3,7.607,2,3,12.382,3,2,11.382,3,4,3,1,26.125,1,7.807,1,17.282,1,8.712,I don't think you can tell all those specific things about a person based on what their face looks like.,1,none,none,1,1, ,59,4,4,4,4,1, , , , , , , , , ,3,4,2,1, ,1, ,1, ,1,matched (3),matched (3),3.333333254,3.666666746,-0.052287512,2.75,-0.018382354,0.000961168,1,0,1,3.333333254,0.052287508,-0.000961167,1.389510989,-1.284935951,-0.025542483,0.023620147,2.75,3.333333254,9.166666031
R_2rpYzKaXfbEMDVH,1/12/2021 19:32:57,1/12/2021 19:35:47,1,170,4,4,6.084,2,4,7.35,1,4,4.418,1,2,6.276,2,2,1,1,11.937,1,14.467,1,8.533,1,5.046,A tech startup has created a facial profiling that can determine certain aspects of a person's likelihood to do certain things. For example one of the scenarios given was a person's likelihood of committing a crime and having the NYPD use this software for their city.,1,none,none,1,1, ,36,1.666666627,1,1,3, , , , ,1, , , , , ,3,5,3,1, ,1, ,1, ,1,matched (3),matched (3),1.666666627,5.333333492,1.614379287,2.75,-0.018382354,-0.029676091,1,0,1,1.666666627,-1.614379168,0.029676089,-0.277155697,-2.951602697,0.005094774,0.054257404,2.75,1.666666627,4.583333015
R_ABcO1RLMkc6L8Vr,1/12/2021 20:48:37,1/12/2021 20:51:20,1,163,1,1,8.001,1,1,5.362,1,1,5.163,1,1,4.453,1,1,1,1,34.332,1,10.653,1,9.52,1,7.05,The main point of the statements was that people's personality can be determined by their looks.,1,none,none,1,2, ,38,2,2,2,2,1, , , , , , , , , ,3,6,3,1, ,1, ,1, ,1,matched (3),matched (3),1,6,2.281045675,1,-1.768382311,-4.033761024,1,0,1,1,-2.281045675,4.033761024,-0.943822205,-3.618269205,1.669038534,6.398483276,1,1,1
R_2b3jZaO9aWEnNVF,1/12/2021 18:18:21,1/12/2021 18:23:45,1,323,2,2,9.806,1,1,8.252,2,2,10.669,2,3,10.044,5,4,3,1,35.316,1,15.645,1,15.954,1,20.323,"Facial profiling can now help banks determine a person's worthy, whether or not you will commit a crime, how well you will do in school and whether or not an employer should hire you.",1,none,none,1,2, ,32,4,4,4,4,1, , , , , , , , , ,3,5,3,1, ,1, ,1, ,1,matched (3),matched (3),4,3,-0.718954265,1.875,-0.89338237,0.642301083,1,0,1,4,0.718954265,-0.642301083,2.056177616,-0.618269205,-1.836952806,0.552350819,1.875,4,7.5
R_1mfNDmS2scbcnGl,1/12/2021 20:44:00,1/12/2021 20:50:09,1,368,6,4,14.237,5,5,11.537,2,5,13.066,1,1,21.651,4,2,2,1,65.396,1,5.782,1,16.542,1,19.618,Using facial recognition software is unethical,1,none,none,1,2, ,45,2,2,2,2,1, , , , , , , , , ,5,4,1,1, ,1, ,1, ,1,matched (3),matched (3),2.666666746,4.333333015,0.61437875,3.625,0.85661763,0.526287675,1,0,1,2.666666746,-0.614378989,-0.526287854,0.722844481,-1.951602459,0.619201303,-1.671777129,3.625,2.666666746,9.666666985
R_3EcY16KHEUogdSV,1/12/2021 22:18:20,1/12/2021 22:21:32,1,191,4,2,16.866,4,4,10.142,1,2,15.452,2,4,9.888,2,2,2,1,22.825,1,8.993,1,14.157,1,8.066,Facial recognition to assess character,1,none,none,1,2, ,51,4,4,4,4,1, , , , , , , , , ,3,2,1,1, ,1, ,1, ,1,matched (3),matched (3),2,5,1.281045794,2.875,0.106617644,0.136582091,1,0,1,2,-1.281045794,-0.136582091,0.056177665,-2.618269205,0.00598953,-0.279153705,2.875,2,5.75
R_2VHBMm4XiAGGdEs,1/12/2021 20:51:42,1/12/2021 20:54:41,1,178,2,1,21.087,2,1,7.097,1,1,7.435,1,1,10.8,4,4,3,4,9.792,5,12.011,2,32.107,1,6.233,That they are using facial recognition to make decisions,1,none,none,1,2, ,36,4,4,5,3,1, , , , , , , , , ,3,5,3,1, ,1, ,1, ,1,matched (3),matched (3),3.666666746,3.333333254,-0.385621011,1.25,-1.518382311,0.585520148,3,0,3,3.666666746,0.385621011,-0.585520148,1.722844481,-0.951602459,-2.615936518,1.44489634,1.25,3.666666746,4.583333492
R_3Gxp0XmfqnGCIQF,1/12/2021 21:14:06,1/12/2021 21:17:49,1,222,2,2,18.553,1,4,7.776,4,4,11.418,3,4,13.479,5,4,5,2,13.67,4,10.526,1,5.941,1,4.972,"I was given several scenarios (schools to determine IQ, police to determine crime, etc...) and rate my opinion on if I support a person's appearance to the scenario.",1,none,none,1,1, ,39,5,5,5,5, , , , , , ,1, , , ,3,5,4,1, ,1, ,1, ,1,matched (3),matched (3),4.666666508,2.333333492,-1.385620713,3,0.231617644,-0.320934206,2,0,2,4.666666508,1.385620713,0.320934206,2.722844124,0.048397254,0.630658746,0.011209658,3,4.666666508,14
R_3HtNekvF9BFT7lO,1/12/2021 20:17:16,1/12/2021 20:20:43,1,206,1,1,13.005,1,1,6.198,3,3,22.438,1,1,12.624,5,4,5,1,29.745,1,7.206,1,6.226,1,7.522,Understanding an individual's character based on their appearance,1,none,none,1,2, ,22,5.666666508,5,6,6,1, , , , , , , , , ,5,3,1,1, ,1, ,1, ,1,matched (3),matched (3),4.666666508,2.333333492,-1.385620713,1.5,-1.268382311,1.757496834,1,0,1,4.666666508,1.385620713,-1.757496834,2.722844124,0.048397254,-3.453607321,-0.06138622,1.5,4.666666508,7
R_1DuncywZVRqRcoj,1/12/2021 21:08:29,1/12/2021 21:14:46,1,377,5,4,7.482,5,4,4.979,3,5,5.022,4,3,4.338,2,1,2,1,254.459,1,4.186,1,5.014,1,4.584,New facial recognition profiling technologies are being considered by various groups in society. I was asked about my level of support for the adoption of such techniques.,1,none,none,1,2, ,35,1,1,1,1,1, , , , , , , , , ,3,5,2,1, ,1, ,1, ,1,matched (3),matched (3),1.666666627,5.333333492,1.614379287,4.125,1.356617689,2.190095425,1,0,1,1.666666627,-1.614379168,-2.190095425,-0.277155697,-2.951602697,-0.375994325,-4.004196644,4.125,1.666666627,6.875
R_3Dpy63DIal9dHIO,1/12/2021 21:16:47,1/12/2021 21:23:07,1,379,4,3,17.714,4,3,10.337,5,5,14.289,4,3,11.373,4,4,4,3,55.432,4,20.644,1,45.071,2,30.624,"This software may be used to read a person's face and tell such things as how trust worthy, how smart or how likely they are to be honest or commit a crime.",1,none,none,1,2, ,73,7,7,7,7,1, , , , , , , , , ,1,7,3,1, ,1, ,1, ,1,matched (3),matched (3),4,3,-0.718954265,3.875,1.106617689,-0.795607507,2.5,0,2.5,4,0.718954265,0.795607507,2.056177616,-0.618269205,2.275402546,-0.684187651,3.875,4,15.5
R_1pnRmpFMn2qTBOa,1/12/2021 18:24:58,1/12/2021 18:28:48,1,229,3,1,12.316,1,1,6.827,1,1,8.304,1,1,6.451,5,5,3,1,21.508,1,18.018,1,31.719,1,7.228,Facial recognition software has been developed to assess certain attributes of people and are going to be used by some institutions.,1,none,none,1,2, ,44,4,4,4,4,1, , , , , , , , , ,6,5,3,1, ,1, ,1, ,1,matched (3),matched (3),4.333333492,2.666666508,-1.052287698,1.25,-1.518382311,1.597774982,1,0,1,4.333333492,1.052287698,-1.597774982,2.389511108,-0.284935772,-3.628191471,0.432641447,1.25,4.333333492,5.416666985
R_dg97eV4PbxcdbZ7,1/12/2021 19:57:44,1/12/2021 20:04:25,1,400,1,1,22.961,4,1,17.109,5,5,14.045,4,2,14.087,5,5,5,2,43.167,4,16.254,5,38.425,1,17.366,"The facial proofing software can be used in banks for avoiding loan debt but as for the rest such as schools, criminal cases and army recruitment i don't really support that.",1,none,none,1,2, ,20,1,1,1,1, , , , , , , , ,1,black American,5,5,5,1, ,1, ,1, ,1,matched (3),matched (3),5,2,-1.718954206,2.875,0.106617644,-0.183270842,3,0,3,5,1.718954206,0.183270842,3.056177616,0.381730735,0.32584247,0.040699232,2.875,5,14.375
R_24dv4Ap54378MiO,1/12/2021 21:45:20,1/12/2021 21:57:55,1,754,4,2,16.107,2,2,17.666,2,2,27.91,1,2,28.495,4,3,4,1,53.14,6,33.861,1,61.363,2,28.582,The statements gauged my support for various institutions intention to use facial profiling in determining peoples appropriateness for various positions.,1,none,none,1,2, ,29,2,2,2,2, ,1, , , , , , , , ,3,6,3,1, ,1, ,1, ,1,matched (3),matched (3),3.666666746,3.333333254,-0.385621011,2.125,-0.64338237,0.248101756,2.5,0,2.5,3.666666746,0.385621011,-0.248101756,1.722844481,-0.951602459,-1.10844779,0.612244248,2.125,3.666666746,7.791666985
R_3oWU7JSoPB8LX0n,1/12/2021 20:14:42,1/12/2021 20:21:40,1,418,3,3,21.185,3,3,4.599,3,3,10.854,3,3,4.183,1,1,1,1,26.636,7,12.3,1,8.235,1,4.756,I do not know what the main points were.,1,none,none,1,1, ,56,2,2,2,2,1, , , , , , , , , ,3,4,2,1, ,1, ,1, ,1,matched (3),matched (3),1,6,2.281045675,3,0.231617644,0.528330445,2.5,1,2.5,1,-2.281045675,-0.528330445,-0.943822205,-3.618269205,-0.218605876,-0.838055015,3,1,3
R_3IbKkj4qIltCbfi,1/12/2021 20:14:13,1/12/2021 20:18:25,1,251,4,4,12.619,4,4,4.931,3,4,8.007,4,4,5.785,5,5,5,1,51.722,1,16.38,1,27.209,1,23.482,The main point of the statements is that don't judge a book by its cover.,1,none,none,2,1, ,43,1.666666627,2,2,1, , , , , ,1, , , , ,7,5,3,1, ,1, ,0,Philippines,1,matched (3),matched (3),5,2,-1.718954206,3.875,1.106617689,-1.902225137,1,0,1,5,1.718954206,1.902225137,3.056177616,0.381730735,3.382020235,0.422429979,3.875,5,19.375
R_C35x2uqE8C10uQh,1/12/2021 21:37:15,1/12/2021 21:41:35,1,259,1,1,8.138,1,1,5.048,1,1,14.135,1,1,9.011,3,3,1,1,20.58,1,8.732,1,16.797,1,6.685,"The main point of the statements in this survey was to assess how much I believed outward appearance can indicate characteristics such as honesty, bravery, and likelihood to commit a crime. It also assesses how much I believe character can be changed.",1,none,none,1,1, ,56,2,2,2,2,1, , , , , , , , , ,7,6,4,1, ,1, ,1, ,1,matched (3),matched (3),2.333333254,4.666666985,0.947712719,1,-1.768382311,-1.67591846,1,0,1,2.333333254,-0.947712481,1.675917983,0.389510989,-2.284935951,-0.688804328,4.040640354,1,2.333333254,2.333333254
